  t         w[0]         w[1]
0.079      8161.76      9411.16
0.08      8143.74      9405.78
0.081      8125.83      9400.45
0.082      8108.02      9395.16
0.083      8090.31      9389.91
0.084       8072.7       9384.7
0.085      8055.19      9379.53
0.086      8037.77       9374.4
0.087      8020.44      9369.31
0.088      8003.22      9364.26
0.089      7986.08      9359.25
0.09      7969.04      9354.28
0.091       7952.1      9349.35
0.092      7935.24      9344.46
0.093      7918.48       9339.6
0.094       7901.8      9334.79
0.095      7885.22      9330.01
0.096      7868.72      9325.27
0.097      7852.32      9320.57
0.098         7836       9315.9
0.099      7819.76      9311.27
0.1      7803.61      9306.68
0.101      7787.55      9302.13
0.102      7771.57      9297.61
0.103      7755.68      9293.12
0.104      7739.87      9288.68
0.105      7724.14      9284.27
0.106      7708.49      9279.89
0.107      7692.93      9275.55
0.108      7677.44      9271.24
0.109      7662.04      9266.97
0.11      7646.71      9262.73
0.111      7631.47      9258.53
0.112       7616.3      9254.36
0.113       7601.2      9250.22
0.114      7586.19      9246.12
0.115      7571.25      9242.05
0.116      7556.39      9238.02
0.117       7541.6      9234.02
0.118      7526.88      9230.05
0.119      7512.24      9226.11
0.12      7497.67       9222.2
0.121      7483.18      9218.33
0.122      7468.75      9214.49
0.123       7454.4      9210.68
0.124      7440.12       9206.9
0.125      7425.91      9203.15
0.126      7411.77      9199.43
0.127      7397.69      9195.75
0.128      7383.69      9192.09
0.129      7369.75      9188.47
0.13      7355.89      9184.88
0.131      7342.08      9181.31
0.132      7328.35      9177.78
0.133      7314.68      9174.27
0.134      7301.08       9170.8
0.135      7287.54      9167.35
0.136      7274.07      9163.94
0.137      7260.66      9160.55
0.138      7247.31      9157.19
0.139      7234.03      9153.86
0.14      7220.81      9150.56
0.141      7207.65      9147.29
0.142      7194.56      9144.04
0.143      7181.52      9140.83
0.144      7168.55      9137.64
0.145      7155.64      9134.48
0.146      7142.78      9131.34
0.147      7129.99      9128.23
0.148      7117.25      9125.16
0.149      7104.58       9122.1
0.15      7091.96      9119.08
0.151       7079.4      9116.08
0.152      7066.89      9113.11
0.153      7054.45      9110.16
0.154      7042.06      9107.24
0.155      7029.72      9104.35
0.156      7017.44      9101.48
0.157      7005.22      9098.64
0.158      6993.05      9095.82
0.159      6980.94      9093.03
0.16      6968.87      9090.27
0.161      6956.87      9087.53
0.162      6944.91      9084.81
0.163      6933.01      9082.12
0.164      6921.16      9079.46
0.165      6909.37      9076.82
0.166      6897.62       9074.2
0.167      6885.93      9071.61
0.168      6874.29      9069.04
0.169       6862.7       9066.5
0.17      6851.16      9063.98
0.171      6839.66      9061.48
0.172      6828.22      9059.01
0.173      6816.83      9056.56
0.174      6805.49      9054.14
0.175      6794.19      9051.74
0.176      6782.94      9049.36
0.177      6771.74         9047
0.178      6760.59      9044.67
0.179      6749.49      9042.36
0.18      6738.43      9040.08
0.181      6727.42      9037.81
0.182      6716.45      9035.57
0.183      6705.53      9033.35
0.184      6694.66      9031.15
0.185      6683.83      9028.98
0.186      6673.05      9026.83
0.187      6662.31       9024.7
0.188      6651.61      9022.59
0.189      6640.96       9020.5
0.19      6630.36      9018.43
0.191      6619.79      9016.39
0.192      6609.27      9014.36
0.193      6598.79      9012.36
0.194      6588.36      9010.38
0.195      6577.97      9008.42
0.196      6567.62      9006.48
0.197      6557.31      9004.56
0.198      6547.04      9002.66
0.199      6536.81      9000.79
0.2      6526.63      8998.93
0.201      6516.48      8997.09
0.202      6506.37      8995.28
0.203      6496.31      8993.48
0.204      6486.28      8991.71
0.205       6476.3      8989.95
0.206      6466.35      8988.21
0.207      6456.44       8986.5
0.208      6446.58       8984.8
0.209      6436.74      8983.12
0.21      6426.95      8981.46
0.211       6417.2      8979.82
0.212      6407.48       8978.2
0.213       6397.8       8976.6
0.214      6388.16      8975.02
0.215      6378.56      8973.46
0.216      6368.99      8971.92
0.217      6359.46      8970.39
0.218      6349.96      8968.89
0.219       6340.5       8967.4
0.22      6331.08      8965.93
0.221      6321.69      8964.48
0.222      6312.33      8963.05
0.223      6303.02      8961.63
0.224      6293.73      8960.24
0.225      6284.49      8958.86
0.226      6275.27       8957.5
0.227      6266.09      8956.16
0.228      6256.95      8954.83
0.229      6247.83      8953.53
0.23      6238.75      8952.24
0.231      6229.71      8950.97
0.232       6220.7      8949.71
0.233      6211.72      8948.48
0.234      6202.77      8947.26
0.235      6193.86      8946.06
0.236      6184.98      8944.87
0.237      6176.13       8943.7
0.238      6167.31      8942.55
0.239      6158.52      8941.42
0.24      6149.77       8940.3
0.241      6141.04       8939.2
0.242      6132.35      8938.12
0.243      6123.69      8937.05
0.244      6115.06         8936
0.245      6106.46      8934.97
0.246      6097.89      8933.95
0.247      6089.35      8932.95
0.248      6080.84      8931.97
0.249      6072.36         8931
0.25      6063.91      8930.04
0.251      6055.48      8929.11
0.252      6047.09      8928.19
0.253      6038.73      8927.28
0.254       6030.4      8926.39
0.255      6022.09      8925.52
0.256      6013.81      8924.66
0.257      6005.56      8923.82
0.258      5997.34      8922.99
0.259      5989.15      8922.18
0.26      5980.98      8921.39
0.261      5972.85      8920.61
0.262      5964.74      8919.84
0.263      5956.65      8919.09
0.264       5948.6      8918.36
0.265      5940.57      8917.64
0.266      5932.57      8916.93
0.267      5924.59      8916.24
0.268      5916.65      8915.57
0.269      5908.72      8914.91
0.27      5900.83      8914.26
0.271      5892.96      8913.63
0.272      5885.11      8913.01
0.273      5877.29      8912.41
0.274       5869.5      8911.82
0.275      5861.73      8911.25
0.276      5853.99      8910.69
0.277      5846.27      8910.15
0.278      5838.58      8909.62
0.279      5830.91       8909.1
0.28      5823.27       8908.6
0.281      5815.65      8908.11
0.282      5808.06      8907.64
0.283      5800.48      8907.18
0.284      5792.94      8906.74
0.285      5785.42       8906.3
0.286      5777.92      8905.89
0.287      5770.44      8905.48
0.288      5762.99      8905.09
0.289      5755.56      8904.71
0.29      5748.16      8904.35
0.291      5740.78         8904
0.292      5733.42      8903.66
0.293      5726.08      8903.34
0.294      5718.77      8903.03
0.295      5711.48      8902.73
0.296      5704.21      8902.45
0.297      5696.96      8902.18
0.298      5689.74      8901.92
0.299      5682.54      8901.68
0.3      5675.36      8901.45
0.301       5668.2      8901.23
0.302      5661.06      8901.02
0.303      5653.95      8900.83
0.304      5646.86      8900.65
0.305      5639.78      8900.49
0.306      5632.73      8900.33
0.307       5625.7      8900.19
0.308      5618.69      8900.06
0.309       5611.7      8899.95
0.31      5604.74      8899.84
0.311      5597.79      8899.75
0.312      5590.86      8899.67
0.313      5583.96      8899.61
0.314      5577.07      8899.55
0.315       5570.2      8899.51
0.316      5563.36      8899.48
0.317      5556.53      8899.47
0.318      5549.72      8899.46
0.319      5542.94      8899.47
0.32      5536.17      8899.49
0.321      5529.42      8899.52
0.322      5522.69      8899.56
0.323      5515.98      8899.62
0.324      5509.29      8899.68
0.325      5502.62      8899.76
0.326      5495.97      8899.85
0.327      5489.34      8899.95
0.328      5482.72      8900.07
0.329      5476.12      8900.19
0.33      5469.55      8900.33
0.331      5462.99      8900.48
0.332      5456.44      8900.64
0.333      5449.92      8900.81
0.334      5443.42      8900.99
0.335      5436.93      8901.19
0.336      5430.46      8901.39
0.337      5424.01      8901.61
0.338      5417.57      8901.84
0.339      5411.16      8902.08
0.34      5404.76      8902.33
0.341      5398.38      8902.59
0.342      5392.01      8902.87
0.343      5385.66      8903.15
0.344      5379.33      8903.45
0.345      5373.02      8903.75
0.346      5366.72      8904.07
0.347      5360.45       8904.4
0.348      5354.18      8904.74
0.349      5347.94      8905.09
0.35      5341.71      8905.45
0.351      5335.49      8905.82
0.352       5329.3       8906.2
0.353      5323.12      8906.59
0.354      5316.95         8907
0.355       5310.8      8907.41
0.356      5304.67      8907.84
0.357      5298.55      8908.27
0.358      5292.45      8908.72
0.359      5286.37      8909.17
0.36       5280.3      8909.64
0.361      5274.25      8910.12
0.362      5268.21      8910.61
0.363      5262.18       8911.1
0.364      5256.18      8911.61
0.365      5250.18      8912.13
0.366      5244.21      8912.66
0.367      5238.25       8913.2
0.368       5232.3      8913.75
0.369      5226.37      8914.31
0.37      5220.45      8914.88
0.371      5214.55      8915.45
0.372      5208.66      8916.04
0.373      5202.78      8916.64
0.374      5196.93      8917.25
0.375      5191.08      8917.87
0.376      5185.25       8918.5
0.377      5179.44      8919.14
0.378      5173.63      8919.79
0.379      5167.85      8920.45
0.38      5162.07      8921.12
0.381      5156.31      8921.79
0.382      5150.57      8922.48
0.383      5144.84      8923.18
0.384      5139.12      8923.89
0.385      5133.41       8924.6
0.386      5127.72      8925.33
0.387      5122.05      8926.07
0.388      5116.38      8926.81
0.389      5110.73      8927.57
0.39       5105.1      8928.33
0.391      5099.47       8929.1
0.392      5093.86      8929.89
0.393      5088.26      8930.68
0.394      5082.68      8931.48
0.395      5077.11      8932.29
0.396      5071.55      8933.11
0.397      5066.01      8933.94
0.398      5060.47      8934.78
0.399      5054.95      8935.63
0.4      5049.45      8936.49
0.401      5043.95      8937.36
0.402      5038.47      8938.23
0.403         5033      8939.12
0.404      5027.54      8940.01
0.405       5022.1      8940.91
0.406      5016.66      8941.82
0.407      5011.24      8942.75
0.408      5005.83      8943.68
0.409      5000.44      8944.61
0.41      4995.05      8945.56
0.411      4989.68      8946.52
0.412      4984.32      8947.48
0.413      4978.97      8948.46
0.414      4973.64      8949.44
0.415      4968.31      8950.43
0.416         4963      8951.43
0.417      4957.69      8952.44
0.418       4952.4      8953.46
0.419      4947.12      8954.49
0.42      4941.86      8955.52
0.421       4936.6      8956.57
0.422      4931.36      8957.62
0.423      4926.12      8958.68
0.424       4920.9      8959.75
0.425      4915.69      8960.83
0.426      4910.49      8961.91
0.427       4905.3      8963.01
0.428      4900.12      8964.11
0.429      4894.95      8965.22
0.43       4889.8      8966.34
0.431      4884.65      8967.47
0.432      4879.51      8968.61
0.433      4874.39      8969.76
0.434      4869.28      8970.91
0.435      4864.17      8972.07
0.436      4859.08      8973.24
0.437         4854      8974.42
0.438      4848.93      8975.61
0.439      4843.86       8976.8
0.44      4838.81         8978
0.441      4833.77      8979.21
0.442      4828.74      8980.43
0.443      4823.72      8981.66
0.444      4818.71       8982.9
0.445      4813.71      8984.14
0.446      4808.72      8985.39
0.447      4803.74      8986.65
0.448      4798.77      8987.92
0.449      4793.81      8989.19
0.45      4788.86      8990.48
0.451      4783.91      8991.77
0.452      4778.98      8993.07
0.453      4774.06      8994.37
0.454      4769.15      8995.69
0.455      4764.25      8997.01
0.456      4759.35      8998.34
0.457      4754.47      8999.68
0.458      4749.59      9001.03
0.459      4744.73      9002.38
0.46      4739.87      9003.74
0.461      4735.03      9005.11
0.462      4730.19      9006.49
0.463      4725.36      9007.87
0.464      4720.54      9009.26
0.465      4715.73      9010.66
0.466      4710.93      9012.07
0.467      4706.14      9013.49
0.468      4701.36      9014.91
0.469      4696.58      9016.34
0.47      4691.82      9017.78
0.471      4687.06      9019.22
0.472      4682.32      9020.68
0.473      4677.58      9022.14
0.474      4672.85       9023.6
0.475      4668.13      9025.08
0.476      4663.41      9026.56
0.477      4658.71      9028.05
0.478      4654.01      9029.55
0.479      4649.33      9031.05
0.48      4644.65      9032.57
0.481      4639.98      9034.09
0.482      4635.32      9035.61
0.483      4630.66      9037.15
0.484      4626.02      9038.69
0.485      4621.38      9040.24
0.486      4616.75      9041.79
0.487      4612.13      9043.36
0.488      4607.52      9044.93
0.489      4602.91       9046.5
0.49      4598.32      9048.09
0.491      4593.73      9049.68
0.492      4589.15      9051.28
0.493      4584.57      9052.88
0.494      4580.01       9054.5
0.495      4575.45      9056.12
0.496       4570.9      9057.75
0.497      4566.36      9059.38
0.498      4561.83      9061.02
0.499       4557.3      9062.67
0.5      4552.79      9064.32
0.501      4548.27      9065.99
0.502      4543.77      9067.66
0.503      4539.28      9069.33
0.504      4534.79      9071.02
0.505      4530.31      9072.71
0.506      4525.83       9074.4
0.507      4521.37      9076.11
0.508      4516.91      9077.82
0.509      4512.46      9079.54
0.51      4508.02      9081.26
0.511      4503.58      9082.99
0.512      4499.15      9084.73
0.513      4494.73      9086.47
0.514      4490.31      9088.23
0.515      4485.91      9089.98
0.516      4481.51      9091.75
0.517      4477.11      9093.52
0.518      4472.73       9095.3
0.519      4468.35      9097.09
0.52      4463.97      9098.88
0.521      4459.61      9100.68
0.522      4455.25      9102.48
0.523       4450.9      9104.29
0.524      4446.55      9106.11
0.525      4442.21      9107.94
0.526      4437.88      9109.77
0.527      4433.56      9111.61
0.528      4429.24      9113.45
0.529      4424.93       9115.3
0.53      4420.62      9117.16
0.531      4416.33      9119.03
0.532      4412.03       9120.9
0.533      4407.75      9122.78
0.534      4403.47      9124.66
0.535       4399.2      9126.55
0.536      4394.93      9128.45
0.537      4390.67      9130.35
0.538      4386.42      9132.26
0.539      4382.17      9134.18
0.54      4377.93       9136.1
0.541       4373.7      9138.03
0.542      4369.47      9139.96
0.543      4365.25      9141.91
0.544      4361.04      9143.85
0.545      4356.83      9145.81
0.546      4352.62      9147.77
0.547      4348.43      9149.74
0.548      4344.24      9151.71
0.549      4340.05      9153.69
0.55      4335.87      9155.68
0.551       4331.7      9157.67
0.552      4327.53      9159.67
0.553      4323.37      9161.67
0.554      4319.22      9163.68
0.555      4315.07       9165.7
0.556      4310.93      9167.72
0.557      4306.79      9169.75
0.558      4302.66      9171.79
0.559      4298.53      9173.83
0.56      4294.41      9175.88
0.561       4290.3      9177.93
0.562      4286.19      9179.99
0.563      4282.09      9182.06
0.564      4277.99      9184.13
0.565       4273.9      9186.21
0.566      4269.81      9188.29
0.567      4265.73      9190.39
0.568      4261.66      9192.48
0.569      4257.59      9194.58
0.57      4253.52      9196.69
0.571      4249.47      9198.81
0.572      4245.41      9200.93
0.573      4241.37      9203.06
0.574      4237.32      9205.19
0.575      4233.29      9207.33
0.576      4229.26      9209.47
0.577      4225.23      9211.62
0.578      4221.21      9213.78
0.579      4217.19      9215.94
0.58      4213.18      9218.11
0.581      4209.18      9220.28
0.582      4205.18      9222.46
0.583      4201.18      9224.65
0.584       4197.2      9226.84
0.585      4193.21      9229.04
0.586      4189.23      9231.24
0.587      4185.26      9233.45
0.588      4181.29      9235.67
0.589      4177.32      9237.89
0.59      4173.37      9240.12
0.591      4169.41      9242.35
0.592      4165.46      9244.59
0.593      4161.52      9246.83
0.594      4157.58      9249.08
0.595      4153.64      9251.34
0.596      4149.71       9253.6
0.597      4145.79      9255.87
0.598      4141.87      9258.14
0.599      4137.95      9260.42
0.6      4134.04       9262.7
0.601      4130.14      9264.99
0.602      4126.24      9267.29
0.603      4122.34      9269.59
0.604      4118.45       9271.9
0.605      4114.56      9274.21
0.606      4110.68      9276.53
0.607       4106.8      9278.85
0.608      4102.93      9281.18
0.609      4099.06      9283.52
0.61       4095.2      9285.86
0.611      4091.34       9288.2
0.612      4087.49      9290.55
0.613      4083.64      9292.91
0.614      4079.79      9295.28
0.615      4075.95      9297.64
0.616      4072.11      9300.02
0.617      4068.28       9302.4
0.618      4064.45      9304.78
0.619      4060.63      9307.17
0.62      4056.81      9309.57
0.621         4053      9311.97
0.622      4049.18      9314.38
0.623      4045.38      9316.79
0.624      4041.58      9319.21
0.625      4037.78      9321.63
0.626      4033.99      9324.06
0.627       4030.2       9326.5
0.628      4026.41      9328.94
0.629      4022.63      9331.38
0.63      4018.85      9333.83
0.631      4015.08      9336.29
0.632      4011.31      9338.75
0.633      4007.55      9341.22
0.634      4003.79      9343.69
0.635      4000.03      9346.17
0.636      3996.28      9348.65
0.637      3992.53      9351.14
0.638      3988.79      9353.63
0.639      3985.05      9356.13
0.64      3981.31      9358.63
0.641      3977.58      9361.14
0.642      3973.85      9363.66
0.643      3970.13      9366.18
0.644      3966.41       9368.7
0.645      3962.69      9371.23
0.646      3958.98      9373.77
0.647      3955.27      9376.31
0.648      3951.57      9378.86
0.649      3947.87      9381.41
0.65      3944.17      9383.97
0.651      3940.48      9386.53
0.652      3936.79       9389.1
0.653       3933.1      9391.67
0.654      3929.42      9394.25
0.655      3925.74      9396.83
0.656      3922.07      9399.42
0.657       3918.4      9402.01
0.658      3914.73      9404.61
0.659      3911.07      9407.21
0.66      3907.41      9409.82
0.661      3903.75      9412.44
0.662       3900.1      9415.06
0.663      3896.45      9417.68
0.664      3892.81      9420.31
0.665      3889.16      9422.95
0.666      3885.53      9425.59
0.667      3881.89      9428.23
0.668      3878.26      9430.88
0.669      3874.63      9433.54
0.67      3871.01       9436.2
0.671      3867.39      9438.86
0.672      3863.77      9441.53
0.673      3860.16      9444.21
0.674      3856.55      9446.89
0.675      3852.94      9449.57
0.676      3849.34      9452.26
0.677      3845.73      9454.96
0.678      3842.14      9457.66
0.679      3838.54      9460.36
0.68      3834.95      9463.08
0.681      3831.37      9465.79
0.682      3827.78      9468.51
0.683       3824.2      9471.24
0.684      3820.63      9473.97
0.685      3817.05       9476.7
0.686      3813.48      9479.44
0.687      3809.92      9482.19
0.688      3806.35      9484.94
0.689      3802.79      9487.69
0.69      3799.23      9490.46
0.691      3795.68      9493.22
0.692      3792.13      9495.99
0.693      3788.58      9498.77
0.694      3785.04      9501.55
0.695      3781.49      9504.33
0.696      3777.96      9507.12
0.697      3774.42      9509.91
0.698      3770.89      9512.71
0.699      3767.36      9515.52
0.7      3763.83      9518.33
0.701      3760.31      9521.14
0.702      3756.79      9523.96
0.703      3753.27      9526.78
0.704      3749.76      9529.61
0.705      3746.25      9532.45
0.706      3742.74      9535.29
0.707      3739.23      9538.13
0.708      3735.73      9540.98
0.709      3732.23      9543.83
0.71      3728.73      9546.69
0.711      3725.24      9549.55
0.712      3721.75      9552.42
0.713      3718.26      9555.29
0.714      3714.78      9558.17
0.715       3711.3      9561.05
0.716      3707.82      9563.93
0.717      3704.34      9566.82
0.718      3700.87      9569.72
0.719       3697.4      9572.62
0.72      3693.93      9575.53
0.721      3690.46      9578.44
0.722         3687      9581.35
0.723      3683.54      9584.27
0.724      3680.09       9587.2
0.725      3676.63      9590.12
0.726      3673.18      9593.06
0.727      3669.73         9596
0.728      3666.29      9598.94
0.729      3662.84      9601.89
0.73       3659.4      9604.84
0.731      3655.97       9607.8
0.732      3652.53      9610.76
0.733       3649.1      9613.72
0.734      3645.67       9616.7
0.735      3642.24      9619.67
0.736      3638.82      9622.65
0.737       3635.4      9625.64
0.738      3631.98      9628.63
0.739      3628.56      9631.62
0.74      3625.15      9634.62
0.741      3621.74      9637.62
0.742      3618.33      9640.63
0.743      3614.92      9643.64
0.744      3611.52      9646.66
0.745      3608.12      9649.68
0.746      3604.72      9652.71
0.747      3601.32      9655.74
0.748      3597.93      9658.78
0.749      3594.54      9661.82
0.75      3591.15      9664.86
0.751      3587.76      9667.91
0.752      3584.38      9670.97
0.753         3581      9674.03
0.754      3577.62      9677.09
0.755      3574.24      9680.16
0.756      3570.87      9683.23
0.757      3567.49       9686.3
0.758      3564.12      9689.39
0.759      3560.76      9692.47
0.76      3557.39      9695.56
0.761      3554.03      9698.66
0.762      3550.67      9701.76
0.763      3547.31      9704.86
0.764      3543.96      9707.97
0.765      3540.61      9711.08
0.766      3537.26       9714.2
0.767      3533.91      9717.32
0.768      3530.56      9720.45
0.769      3527.22      9723.58
0.77      3523.88      9726.71
0.771      3520.54      9729.85
0.772       3517.2         9733
0.773      3513.87      9736.14
0.774      3510.53       9739.3
0.775       3507.2      9742.45
0.776      3503.88      9745.62
0.777      3500.55      9748.78
0.778      3497.23      9751.95
0.779      3493.91      9755.13
0.78      3490.59      9758.31
0.781      3487.27      9761.49
0.782      3483.96      9764.68
0.783      3480.64      9767.87
0.784      3477.33      9771.07
0.785      3474.03      9774.27
0.786      3470.72      9777.48
0.787      3467.42      9780.69
0.788      3464.12       9783.9
0.789      3460.82      9787.12
0.79      3457.52      9790.34
0.791      3454.22      9793.57
0.792      3450.93       9796.8
0.793      3447.64      9800.04
0.794      3444.35      9803.28
0.795      3441.06      9806.53
0.796      3437.78      9809.78
0.797      3434.49      9813.03
0.798      3431.21      9816.29
0.799      3427.93      9819.55
0.8      3424.66      9822.82
0.801      3421.38      9826.09
0.802      3418.11      9829.36
0.803      3414.84      9832.64
0.804      3411.57      9835.93
0.805       3408.3      9839.22
0.806      3405.04      9842.51
0.807      3401.78      9845.81
0.808      3398.52      9849.11
0.809      3395.26      9852.41
0.81         3392      9855.72
0.811      3388.75      9859.04
0.812      3385.49      9862.35
0.813      3382.24      9865.68
0.814      3378.99         9869
0.815      3375.74      9872.33
0.816       3372.5      9875.67
0.817      3369.26      9879.01
0.818      3366.01      9882.35
0.819      3362.77       9885.7
0.82      3359.54      9889.05
0.821       3356.3      9892.41
0.822      3353.07      9895.77
0.823      3349.83      9899.13
0.824       3346.6       9902.5
0.825      3343.38      9905.88
0.826      3340.15      9909.25
0.827      3336.92      9912.63
0.828       3333.7      9916.02
0.829      3330.48      9919.41
0.83      3327.26       9922.8
0.831      3324.04       9926.2
0.832      3320.83      9929.61
0.833      3317.61      9933.01
0.834       3314.4      9936.42
0.835      3311.19      9939.84
0.836      3307.98      9943.26
0.837      3304.78      9946.68
0.838      3301.57      9950.11
0.839      3298.37      9953.54
0.84      3295.17      9956.98
0.841      3291.97      9960.42
0.842      3288.77      9963.86
0.843      3285.57      9967.31
0.844      3282.38      9970.76
0.845      3279.18      9974.22
0.846      3275.99      9977.68
0.847       3272.8      9981.14
0.848      3269.61      9984.61
0.849      3266.43      9988.08
0.85      3263.24      9991.56
0.851      3260.06      9995.04
0.852      3256.88      9998.53
0.853       3253.7        10002
0.854      3250.52      10005.5
0.855      3247.35        10009
0.856      3244.17      10012.5
0.857         3241        10016
0.858      3237.83      10019.5
0.859      3234.66        10023
0.86      3231.49      10026.6
0.861      3228.32      10030.1
0.862      3225.16      10033.6
0.863         3222      10037.1
0.864      3218.84      10040.7
0.865      3215.68      10044.2
0.866      3212.52      10047.7
0.867      3209.36      10051.3
0.868      3206.21      10054.8
0.869      3203.05      10058.4
0.87       3199.9        10062
0.871      3196.75      10065.5
0.872       3193.6      10069.1
0.873      3190.45      10072.7
0.874      3187.31      10076.2
0.875      3184.16      10079.8
0.876      3181.02      10083.4
0.877      3177.88        10087
0.878      3174.74      10090.6
0.879       3171.6      10094.2
0.88      3168.47      10097.8
0.881      3165.33      10101.4
0.882       3162.2        10105
0.883      3159.07      10108.6
0.884      3155.94      10112.2
0.885      3152.81      10115.8
0.886      3149.68      10119.4
0.887      3146.55      10123.1
0.888      3143.43      10126.7
0.889      3140.31      10130.3
0.89      3137.19        10134
0.891      3134.07      10137.6
0.892      3130.95      10141.2
0.893      3127.83      10144.9
0.894      3124.72      10148.5
0.895       3121.6      10152.2
0.896      3118.49      10155.9
0.897      3115.38      10159.5
0.898      3112.27      10163.2
0.899      3109.16      10166.9
0.9      3106.05      10170.6
0.901      3102.95      10174.2
0.902      3099.84      10177.9
0.903      3096.74      10181.6
0.904      3093.64      10185.3
0.905      3090.54        10189
0.906      3087.44      10192.7
0.907      3084.34      10196.4
0.908      3081.25      10200.1
0.909      3078.15      10203.8
0.91      3075.06      10207.5
0.911      3071.97      10211.3
0.912      3068.88        10215
0.913      3065.79      10218.7
0.914       3062.7      10222.4
0.915      3059.62      10226.2
0.916      3056.53      10229.9
0.917      3053.45      10233.7
0.918      3050.37      10237.4
0.919      3047.29      10241.2
0.92      3044.21      10244.9
0.921      3041.13      10248.7
0.922      3038.06      10252.4
0.923      3034.98      10256.2
0.924      3031.91        10260
0.925      3028.83      10263.7
0.926      3025.76      10267.5
0.927      3022.69      10271.3
0.928      3019.63      10275.1
0.929      3016.56      10278.9
0.93      3013.49      10282.7
0.931      3010.43      10286.5
0.932      3007.36      10290.3
0.933       3004.3      10294.1
0.934      3001.24      10297.9
0.935      2998.18      10301.7
0.936      2995.13      10305.5
0.937      2992.07      10309.3
0.938      2989.01      10313.1
0.939      2985.96        10317
0.94      2982.91      10320.8
0.941      2979.86      10324.6
0.942      2976.81      10328.5
0.943      2973.76      10332.3
0.944      2970.71      10336.2
0.945      2967.66        10340
0.946      2964.62      10343.9
0.947      2961.57      10347.7
0.948      2958.53      10351.6
0.949      2955.49      10355.4
0.95      2952.45      10359.3
0.951      2949.41      10363.2
0.952      2946.37      10367.1
0.953      2943.34      10370.9
0.954       2940.3      10374.8
0.955      2937.27      10378.7
0.956      2934.24      10382.6
0.957       2931.2      10386.5
0.958      2928.17      10390.4
0.959      2925.15      10394.3
0.96      2922.12      10398.2
0.961      2919.09      10402.1
0.962      2916.07        10406
0.963      2913.04      10409.9
0.964      2910.02      10413.9
0.965         2907      10417.8
0.966      2903.98      10421.7
0.967      2900.96      10425.6
0.968      2897.94      10429.6
0.969      2894.92      10433.5
0.97      2891.91      10437.5
0.971      2888.89      10441.4
0.972      2885.88      10445.4
0.973      2882.87      10449.3
0.974      2879.86      10453.3
0.975      2876.85      10457.2
0.976      2873.84      10461.2
0.977      2870.83      10465.2
0.978      2867.83      10469.1
0.979      2864.82      10473.1
0.98      2861.82      10477.1
0.981      2858.81      10481.1
0.982      2855.81        10485
0.983      2852.81        10489
0.984      2849.81        10493
0.985      2846.82        10497
0.986      2843.82        10501
0.987      2840.82        10505
0.988      2837.83        10509
0.989      2834.84      10513.1
0.99      2831.84      10517.1
0.991      2828.85      10521.1
0.992      2825.86      10525.1
0.993      2822.87      10529.1
0.994      2819.89      10533.2
0.995       2816.9      10537.2
0.996      2813.92      10541.2
0.997      2810.93      10545.3
0.998      2807.95      10549.3
0.999      2804.97      10553.4
  1      2801.99      10557.4
1.001      2799.01      10561.5
1.002      2796.03      10565.5
1.003      2793.05      10569.6
1.004      2790.08      10573.7
