Newton's Method:
Iter  | x                      | f(x)                      | Abs Error                  | Rel Error                
14    | 1.839263916015625000   | -0.00012493613971287232   | 2.28391985359621700000e-05 | 1.24174213026955890000e-05
15    | 1.839279174804687500   | -0.00004146726211118335   | 7.58040947346216850000e-06 | 4.12138534242830940000e-06
16    | 1.839286804199218800   | 0.00000026796560703701    | 4.89850577878314650000e-08 | 2.66326377053303980000e-08

Fixed Point Method:
Iter  | x                      | f(x)                      | Abs Error                  | Rel Error                
--------------------------------------------------------------------------------------------------------------------
0     | 1.981250000000000000   | -1.37500000000000000000   | 1.41963244785839000000e-01 | 7.71838563961763600000e-02
1     | 1.676574572753906300   | 0.87050122070312470000    | 1.62712182460254650000e-01 | 8.84648258347888500000e-02
2     | 1.947750915753789600   | -0.77478955142823790000   | 1.08464160539628600000e-01 | 5.89707723562655400000e-02
3     | 1.721033653641958400   | 0.64776360603380350000    | 1.18253101572202590000e-01 | 6.42929120415666600000e-02
4     | 1.925910736385511000   | -0.58536309355300760000   | 8.66239811713500600000e-02 | 4.70965067985083300000e-02
5     | 1.747965641288161500   | 0.50841455742099880000    | 9.13211139259995100000e-02 | 4.96502862683673000000e-02
6     | 1.909890857806211000   | -0.46264347576585600000   | 7.06041025920500800000e-02 | 3.83866748302817760000e-02
7     | 1.766704934924417300   | 0.40910263680512510000    | 7.25818202897436900000e-02 | 3.94619382127244650000e-02
8     | 1.897475425415844000   | -0.37362997283264754000   | 5.81886702016829460000e-02 | 3.16365406518178500000e-02
9     | 1.780643061337929400   | 0.33380675450832725000    | 5.86436938762315840000e-02 | 3.18839320241847200000e-02
10    | 1.887556209671085000   | -0.30546613809473020000   | 4.82694544569239900000e-02 | 2.62435720368701500000e-02
11    | 1.791414778748818800   | 0.27468980263504610000    | 4.78719764653421360000e-02 | 2.60274676200601860000e-02
12    | 1.879486209427963600   | -0.25163265908327087000   | 4.01994542138026660000e-02 | 2.18560015722627020000e-02
13    | 1.799941344145376200   | 0.22727104366453550000    | 3.93454110687847500000e-02 | 2.13916676979514770000e-02
14    | 1.872846450138548200   | -0.20830030283763434000   | 3.35596949243872600000e-02 | 1.82460373996873970000e-02
15    | 1.806798140756295900   | 0.18870945537786393000    | 3.24886144578651060000e-02 | 1.76637027183301970000e-02
16    | 1.867344591894735800   | -0.17298986039554265000   | 2.80578366805748200000e-02 | 1.52547375231372510000e-02
17    | 1.812371830736269700   | 0.15706503188133158000    | 2.69149244778912330000e-02 | 1.46333487160664850000e-02
18    | 1.862765131494541000   | -0.14398085930934660000   | 2.34783762803800760000e-02 | 1.27649352194929080000e-02
19    | 1.816936703498013000   | 0.13093836570436565000    | 2.23500517161479000000e-02 | 1.21514775511693000000e-02
20    | 1.858942678450386200   | -0.12001707129249466000   | 1.96559232362252260000e-02 | 1.06867094978545360000e-02
21    | 1.820695396738862400   | 0.10927794774721088000    | 1.85913584752985800000e-02 | 1.01079173340395520000e-02
22    | 1.855746562296269000   | -0.10014618730687605000   | 1.64598070821080360000e-02 | 8.94901626157336400000e-03
23    | 1.823802261829868000   | 0.09126942990400305000    | 1.54844933842930300000e-02 | 8.41874892014326600000e-03
24    | 1.853071405431111000   | -0.08362612457498031000   | 1.37846502169500780000e-02 | 7.49456286675920500000e-03
25    | 1.826377604983312000   | 0.07626800127942575000    | 1.29091502308489310000e-02 | 7.01856314370394600000e-03
26    | 1.850831015129000800   | -0.06986688613053944000   | 1.15442599148398720000e-02 | 6.27648727536000400000e-03
27    | 1.828516828313955700   | 0.06375481947155759000    | 1.07699269002052840000e-02 | 5.85549092313844600000e-03
28    | 1.848954212795368000   | -0.05839252708974944000   | 9.66745758120701700000e-03 | 5.25609046756897200000e-03
29    | 1.830296568616433200   | 0.05330755479695653000    | 8.99018659772776700000e-03 | 4.88786567523614700000e-03
30    | 1.847381846231102700   | -0.04881507889905569600   | 8.09509101694172500000e-03 | 4.40121204265354300000e-03
